"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"2-Methylcitric acid","2-Methylcitric acid","HMDB0000379","515","","CC(C(=O)O)C(CC(=O)O)(C(=O)O)O","1"
"3,4-Dihydroxybenzeneacetic acid","3,4-Dihydroxybenzeneacetic acid","HMDB0001336","547","C01161","C1=CC(=C(C=C1CC(=O)O)O)O","1"
"3-Methyladenine","3-Methyladenine","HMDB0011600","1673","C00913","CN1C=NC(=C2C1=NC=N2)N","1"
"4-Hydroxyproline","4-Hydroxyproline","HMDB0000725","5810","C01157","C1[C@H](CN[C@@H]1C(=O)O)O","1"
"Adenine","Adenine","HMDB0000034","190","C00147","C1=NC2=C(N1)C(=NC=N2)N","1"
"ADP","ADP","HMDB0001341","6022","C00008","C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)O)O)O","1"
"cis-Aconitic acid","cis-Aconitic acid","HMDB0000072","643757","C00417","C(/C(=C/C(=O)O)/C(=O)O)C(=O)O","1"
"Citrulline","Citrulline","HMDB0000904","9750","C00327","C(C[C@@H](C(=O)O)N)CNC(=O)N","1"
"Coenzyme A","Coenzyme A","HMDB0001423","6816","C00010","CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCS)O","1"
"Cytidine","Cytidine","HMDB0000089","6175","C00475","C1=CN(C(=O)N=C1N)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O","1"
"D-2-Hydroxyglutaric acid","D-2-Hydroxyglutaric acid","HMDB0000606","439391","C01087","C(CC(=O)O)[C@H](C(=O)O)O","1"
"Dihydroxyacetone phosphate","Dihydroxyacetone phosphate","HMDB0001473","668","C00111","C(C(=O)COP(=O)(O)O)O","1"
"D-Lactic acid","D-Lactic acid","HMDB0001311","61503","C00256","C[C@H](C(=O)O)O","1"
"D-Maltose","D-Maltose","HMDB0000163","10991489","C00208","C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](O[C@@H]([C@H]([C@H]2O)O)O)CO)O)O)O)O","1"
"D-Ribose 5-phosphate","D-Ribose 5-phosphate","HMDB0001548","439167","C00117","C([C@@H]1[C@H]([C@H](C(O1)O)O)O)OP(=O)(O)O","1"
"Erythrose NPS","NA","NA","NA","NA","NA","0"
"Fumaric acid","Fumaric acid","HMDB0000134","444972","C00122","C(=C/C(=O)O)\C(=O)O","1"
"Galactaric acid","Galactaric acid","HMDB0000639","3037582","C00879","[C@@H]([C@@H]([C@H](C(=O)O)O)O)([C@@H](C(=O)O)O)O","1"
"Gluconic acid","Gluconic acid","HMDB0000625","10690","C00257","C([C@H]([C@H]([C@@H]([C@H](C(=O)O)O)O)O)O)O","1"
"Glucosamine","Glucosamine","HMDB0001514","439213","C00329","C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)N)O)O)O","1"
"Glycerol","Glycerol","HMDB0000131","753","C00116","C(C(CO)O)O","1"
"Glycerophosphocholine","Glycerophosphocholine","HMDB0000086","71920","C00670","C[N+](C)(C)CCOP(=O)([O-])OC[C@H](CO)O","1"
"Glycine","Glycine","HMDB0000123","750","C00037","C(C(=O)O)N","1"
"Glyoxylic acid","Glyoxylic acid","HMDB0000119","760","C00048","C(=O)C(=O)O","1"
"Guanine","Guanine","HMDB0000132","764","C00242","C1=NC2=C(N1)C(=O)N=C(N2)N","1"
"Guanosine diphosphate mannose","Guanosine diphosphate mannose","HMDB0001163","18396","C00096","C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)O[C@@H]4[C@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O)NC(=NC2=O)N","1"
"Inosine","Inosine","HMDB0000195","6021","C00294","C1=NC(=O)C2=C(N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O","1"
"L-Arginine","L-Arginine","HMDB0000517","6322","C00062","C(C[C@@H](C(=O)O)N)CN=C(N)N","1"
"L-Glutamic acid","L-Glutamic acid","HMDB0000148","33032","C00025","C(CC(=O)O)[C@@H](C(=O)O)N","1"
"L-Glutamine","L-Glutamine","HMDB0000641","5961","C00064","C(CC(=O)N)[C@@H](C(=O)O)N","1"
"L-Histidine","L-Histidine","HMDB0000177","6274","C00135","C1=C(NC=N1)C[C@@H](C(=O)O)N","1"
"L-Leucine","L-Leucine","HMDB0000687","6106","C00123","CC(C)C[C@@H](C(=O)O)N","1"
"L-Lysine","L-Lysine","HMDB0000182","5962","C00047","C(CCN)C[C@@H](C(=O)O)N","1"
"L-Methionine","L-Methionine","HMDB0000696","6137","C00073","CSCC[C@@H](C(=O)O)N","1"
"L-Proline","L-Proline","HMDB0000162","145742","C00148","C1C[C@H](NC1)C(=O)O","1"
"L-Threonine","L-Threonine","HMDB0000167","6288","C00188","C[C@H]([C@@H](C(=O)O)N)O","1"
"L-Valine","L-Valine","HMDB0000883","6287","C00183","CC(C)[C@@H](C(=O)O)N","1"
"Mannitol","Mannitol","HMDB0000765","6251","C00392","C([C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)O","1"
"Myristic acid","Myristic acid","HMDB0000806","11005","C06424","CCCCCCCCCCCCCC(=O)O","1"
"Nicotinic acid","Nicotinic acid","HMDB0001488","938","C00253","C1=CC(=CN=C1)C(=O)O","1"
"Orotic acid","Orotic acid","HMDB0000226","967","C00295","C1=C(NC(=O)NC1=O)C(=O)O","1"
"Oxoglutaric acid","Oxoglutaric acid","HMDB0000208","51","C00026","C(CC(=O)O)C(=O)C(=O)O","1"
"Phthalic acid","Phthalic acid","HMDB0002107","1017","C01606","C1=CC=C(C(=C1)C(=O)O)C(=O)O","1"
"Sucrose 6-Phosphate","Sucrose 6-phosphate","METPA0307",NA,"C02591",NA,"1"
"Taurine","Taurine","HMDB0000251","1123","C00245","C(CS(=O)(=O)O)N","1"
"Uric acid","Uric acid","HMDB0000289","1175","C00366","C12=C(NC(=O)N1)NC(=O)NC2=O","1"
"Uridine","Uridine","HMDB0000296","6029","C00299","C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O","1"
"Uridine 5'-diphosphate","Uridine 5'-diphosphate","HMDB0000295","6031","C00015","C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)O)O)O","1"
"Uridine 5'-monophosphate","Uridine 5'-monophosphate","HMDB0000288","6030","C00105","C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)O)O)O","1"
"R-lipoic acid","NA","NA","NA","NA","NA","0"
"3-Methylhistidine","3-Methylhistidine","HMDB0000479","64969","C01152","CN1C=NC=C1C[C@@H](C(=O)O)N","1"
"4-Hydroxyphenylpyruvic acid","4-Hydroxyphenylpyruvic acid","HMDB0000707","979","C01179","C1=CC(=CC=C1CC(=O)C(=O)O)O","1"
"5'-Methylthioadenosine","5'-Methylthioadenosine","HMDB0001173","439176","C00170","CSC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)O","1"
"Acetyl-CoA","Acetyl-CoA","HMDB0001206","444493","C00024","CC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)O","1"
"Adenosine triphosphate","Adenosine triphosphate","HMDB0000538","5957","C00002","C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O","1"
"Alanylglycine","Alanylglycine","HMDB0006899","79094","","CC(C(=O)NCC(=O)O)N","1"
"Allantoin","Allantoin","HMDB0000462","204","C01551","C1(C(=O)NC(=O)N1)NC(=O)N","1"
"Citric acid","Citric acid","HMDB0000094","311","C00158","C(C(=O)O)C(CC(=O)O)(C(=O)O)O","1"
"Cyclic AMP","Cyclic AMP","HMDB0000058","6076","C00575","C1[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C3N=CN=C4N)O)OP(=O)(O1)O","1"
"Deoxyribose 5-phosphate","Deoxyribose 5-phosphate","HMDB0001031","45934311","C00673","C1[C@@H]([C@H](O[C@H]1O)COP(=O)(O)O)O","1"
"D-Erythrose 4-phosphate","D-Erythrose 4-phosphate","HMDB0001321","122357","C00279","C([C@H]([C@H](C=O)O)O)OP(=O)(O)O","1"
"D-Glucuronic acid","D-Glucuronic acid","HMDB0000127","444791","C00191","[C@@H]1([C@@H]([C@H](O[C@@H]([C@@H]1O)O)C(=O)O)O)O","1"
"Diaminopimelic acid","Diaminopimelic acid","HMDB0001370","439283","C00666","C(C[C@@H](C(=O)O)N)C[C@@H](C(=O)O)N","1"
"Dodecanoic acid","Dodecanoic acid","HMDB0000638","3893","C02679","CCCCCCCCCCCC(=O)O","1"
"Ergocalciferol NPS","NA","NA","NA","NA","NA","0"
"FAD","FAD","HMDB0001248","643975","C00016","CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]4[C@H]([C@H]([C@@H](O4)N5C=NC6=C5N=CN=C6N)O)O)O)O)O","1"
"Fructose 1,6-bisphosphate","Fructose 1,6-bisphosphate","HMDB0001058","172313","C00354","C([C@@H]1[C@H]([C@@H](C(O1)(COP(=O)(O)O)O)O)O)OP(=O)(O)O","1"
"Gamma-Aminobutyric acid","Gamma-Aminobutyric acid","HMDB0000112","119","C00334","C(CC(=O)O)CN","1"
"Glucosamine 6-phosphate","Glucosamine 6-phosphate","HMDB0001254","439217","C00352","C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O)N)O)O)OP(=O)(O)O","1"
"Glutathionylspermidine NPS","NA","NA","NA","NA","NA","0"
"Glycerol 3-phosphate","Glycerol 3-phosphate","HMDB0000126","439162","C00093","C([C@H](COP(=O)(O)O)O)O","1"
"Guanidine NPS","NA","NA","NA","NA","NA","0"
"Guanosine","Guanosine","HMDB0000133","6802","C00387","C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)NC(=NC2=O)N","1"
"Guanosine diphosphate","Guanosine diphosphate","HMDB0001201","8977","C00035","C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)O)O)O)NC(=NC2=O)N","1"
"IDP","IDP","HMDB0003335","644173","C00104","C1=NC(=O)C2=C(N1)N(C=N2)C3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)O)O)O","1"
"L-Asparagine","L-Asparagine","HMDB0000168","6267","C00152","C([C@@H](C(=O)O)N)C(=O)N","1"
"L-Aspartic acid","L-Aspartic acid","HMDB0000191","5960","C00049","C([C@@H](C(=O)O)N)C(=O)O","1"
"L-Citronellol NPS","NA","NA","NA","NA","NA","0"
"L-Cystine","L-Cystine","HMDB0000192","67678","C00491","C([C@@H](C(=O)O)N)SSC[C@@H](C(=O)O)N","1"
"L-Homoserine","L-Homoserine","HMDB0000719","12647","C00263","C(CO)[C@@H](C(=O)O)N","1"
"L-Isoleucine","L-Isoleucine","HMDB0000172","6306","C00407","CC[C@H](C)[C@@H](C(=O)O)N","1"
"L-Malic acid","L-Malic acid","HMDB0000156","222656","C00149","C([C@@H](C(=O)O)O)C(=O)O","1"
"L-Serine","L-Serine","HMDB0000187","5951","C00065","C([C@@H](C(=O)O)N)O","1"
"L-Tyrosine","L-Tyrosine","HMDB0000158","6057","C00082","C1=CC(=CC=C1C[C@@H](C(=O)O)N)O","1"
"N-Acetylglutamine","N-Acetylglutamine","HMDB0006029","25561","","CC(=O)NC(CCC(=O)N)C(=O)O","1"
